SMILES,LogS
C(=N/Nc1ccccc1)\c1ccc[nH]1,-4.489019458114034
C(=N/Nc1ccccc1)\c1ccco1,-4.498762457810566
C(=N/Nc1ccccc1)\c1cccs1,-4.541749745381413
O=[N+]([O-])c1ccc(N/N=C/c2ccc[nH]2)c([N+](=O)[O-])c1,-6.052797339024129
O=[N+]([O-])c1ccc(N/N=C/c2ccc[nH]2)cc1,-5.018871150367018
O=[N+]([O-])c1ccc(N/N=C/c2ccco2)c([N+](=O)[O-])c1,-6.110789286870404
O=[N+]([O-])c1ccc(N/N=C/c2ccco2)cc1,-5.021388807022559
O=[N+]([O-])c1ccc(N/N=C/c2cccs2)c([N+](=O)[O-])c1,-6.411819285574447
O=[N+]([O-])c1ccc(N/N=C/c2cccs2)cc1,-5.031607973941424
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,-3.779794771023703
C=C(CC(=O)O)C(=O)O,0.7184571786385131
C=C(CC(=O)O)C(=O)O,0.722736859317639
C=C(CC(=O)O)C(=O)O,0.7241155460352388
C=C(CC(=O)O)C(=O)O,0.7414335256316406
C=C(CC(=O)O)C(=O)O,0.7585721332324994
C=C(CC(=O)O)C(=O)O,0.7794736884378436
C=C(CC(=O)O)C(=O)O,0.8333241166072504
C=C(CC(=O)O)C(=O)O,0.8962726034881382
C=C(CC(=O)O)C(=O)O,0.9708945594834756
C=C(CC(=O)O)C(=O)O,1.058161357507207
C=C(CC(=O)O)C(=O)O,1.15215280206568
C=C(CC(=O)O)C(=O)O,1.2727620884474435
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.475175983884266
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.386030295644092
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.2870302497465715
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.250147965558035
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.195935852197989
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.148619818747412
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.035085328911574
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-3.9262636822238526
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-3.8173179423185912
O=C(O)CCC(=O)O,-0.6628856285605228
O=C(O)CCC(=O)O,-0.5634352205609505
O=C(O)CCC(=O)O,-0.3895204692462299
O=C(O)CCC(=O)O,-0.3232861430010891
